epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.19961,2.79031,7.84268,3.79326,0.0065,0.41176,0.04935,0.01444,3.3742,8.30102,4.57208,0.00328431,0.00328431,0.0704412
2,14.6713,2.44252,6.60693,3.36336,0.11533,0.16019,0.11144,0.04583,3.5403,7.22328,4.47147,0.00648662,0.00648662,0.0403101
3,20.8265,2.47414,5.55313,3.35312,0.39341,0.06419,0.04699,0.016,4.19366,8.59146,5.95406,0.00955692,0.00955692,0.0100471
4,26.6434,2.44679,5.13065,3.30579,0.34176,0.1503,0.08988,0.02895,3.41972,8.93598,4.64281,0.009406,0.009406,0.009406
5,33.2185,2.40543,4.86438,3.31511,0.33662,0.13831,0.1111,0.0416,3.88779,7.26403,5.66116,0.009208,0.009208,0.009208
6,41.5366,2.30381,4.5416,3.22243,0.11882,0.13584,0.08735,0.02716,3.49028,7.72341,5.09417,0.00901,0.00901,0.00901
7,48.0451,2.29651,4.39618,3.22742,0.33132,0.27776,0.13318,0.04238,3.25508,6.39734,4.25197,0.008812,0.008812,0.008812
8,54.4518,2.25624,4.30444,3.19763,0.26922,0.14902,0.08246,0.02861,3.54684,7.53463,4.95447,0.008614,0.008614,0.008614
9,60.6988,2.22924,4.12284,3.1671,0.40104,0.23864,0.19532,0.07283,3.22524,5.88059,4.35984,0.008416,0.008416,0.008416
10,67.0105,2.21987,4.06792,3.18786,0.66635,0.08825,0.07116,0.02585,3.85401,7.86998,5.70977,0.008218,0.008218,0.008218
11,73.393,2.23168,3.97643,3.1576,0.48881,0.3887,0.37537,0.14858,2.96346,4.45696,3.92949,0.00802,0.00802,0.00802
12,79.4603,2.22215,3.9664,3.14225,0.41602,0.13313,0.0978,0.03954,3.82672,7.24423,5.24518,0.007822,0.007822,0.007822
13,85.6095,2.19045,3.79891,3.09752,0.42332,0.29654,0.27366,0.11636,3.10212,5.20922,4.10877,0.007624,0.007624,0.007624
14,91.823,2.15057,3.73274,3.08839,0.64354,0.52098,0.54862,0.21758,2.72471,3.62335,3.56007,0.007426,0.007426,0.007426
15,98.1578,2.16139,3.72876,3.08164,0.39565,0.39396,0.36589,0.1519,3.06677,5.09401,4.13458,0.007228,0.007228,0.007228
16,104.206,2.13595,3.65415,3.08343,0.14419,0.2264,0.17315,0.06305,3.55405,6.83195,4.87615,0.00703,0.00703,0.00703
17,110.619,2.12708,3.64439,3.07943,0.24928,0.28455,0.19079,0.06706,3.72057,6.34489,5.13026,0.006832,0.006832,0.006832
18,117.48,2.11722,3.65206,3.07794,0.51657,0.49205,0.49805,0.215,2.65473,3.61279,3.56421,0.006634,0.006634,0.006634
19,123.332,2.08293,3.46569,2.99161,0.74289,0.09473,0.05381,0.01975,3.95544,8.47554,5.7998,0.006436,0.006436,0.006436
20,128.852,2.1057,3.50819,3.03243,0.62303,0.53995,0.58447,0.28045,2.49805,3.32573,3.45377,0.006238,0.006238,0.006238
21,134.898,2.10583,3.52499,3.06203,0.53794,0.46644,0.47108,0.2048,2.76309,3.86844,3.71038,0.00604,0.00604,0.00604
22,140.738,2.06279,3.39398,2.96367,0.30313,0.30955,0.23156,0.07285,3.39456,6.27223,4.6046,0.005842,0.005842,0.005842
23,146.602,2.07228,3.46442,3.01852,0.56981,0.59282,0.59564,0.25772,2.64615,3.25782,3.53605,0.005644,0.005644,0.005644
24,153.523,2.05738,3.40566,2.999,0.43111,0.49017,0.48288,0.22734,2.51323,3.85816,3.55319,0.005446,0.005446,0.005446
25,159.797,2.06264,3.37743,2.9989,0.50958,0.58941,0.58047,0.26502,2.42675,3.29974,3.34109,0.005248,0.005248,0.005248
26,166.096,2.03043,3.31988,2.96823,0.38758,0.34888,0.34921,0.15031,3.10225,5.37607,4.21135,0.00505,0.00505,0.00505
27,172.215,2.01977,3.3334,2.92792,0.57129,0.17065,0.11608,0.04278,3.66017,7.59194,5.2385,0.004852,0.004852,0.004852
28,178.265,2.01126,3.23375,2.93104,0.29848,0.28713,0.2677,0.10581,3.65386,6.01165,5.03581,0.004654,0.004654,0.004654
29,184.219,1.97686,3.19269,2.88068,0.55556,0.52737,0.56142,0.26294,2.4044,3.5119,3.35865,0.004456,0.004456,0.004456
30,190.329,1.97938,3.15013,2.88613,0.37963,0.37808,0.36445,0.1607,3.18837,5.26103,4.38592,0.004258,0.004258,0.004258
31,197.172,1.97287,3.14438,3.04012,0.34692,0.33753,0.29009,0.11068,3.37064,5.98663,4.63459,0.00406,0.00406,0.00406
32,202.99,1.91345,2.92553,2.97065,0.63304,0.61483,0.6277,0.29851,2.37303,3.10873,3.27663,0.003862,0.003862,0.003862
33,208.426,1.90469,2.78587,2.91869,0.29519,0.39959,0.34367,0.15262,2.9854,5.36116,4.22936,0.003664,0.003664,0.003664
34,213.978,1.93797,2.81055,2.9965,0.58411,0.13086,0.16449,0.06244,3.60382,7.10442,5.07177,0.003466,0.003466,0.003466
35,219.706,1.90183,2.73882,2.95668,0.57491,0.564,0.58804,0.24733,2.68233,3.4171,3.58411,0.003268,0.003268,0.003268
36,225.427,1.87549,2.73629,2.93228,0.3166,0.36181,0.3265,0.14472,3.13183,5.71811,4.32783,0.00307,0.00307,0.00307
37,231.126,1.89563,2.72083,2.93625,0.51871,0.57638,0.58404,0.26386,2.54556,3.30636,3.51196,0.002872,0.002872,0.002872
38,237.03,1.83181,2.69371,2.89272,0.63322,0.62768,0.68182,0.35319,2.26691,2.81602,3.22142,0.002674,0.002674,0.002674
39,242.819,1.82229,2.65089,2.90382,0.60187,0.62092,0.66642,0.32552,2.37493,2.91754,3.30811,0.002476,0.002476,0.002476
40,248.601,1.81872,2.56269,2.85728,0.60317,0.62308,0.66753,0.33203,2.33414,2.81438,3.24523,0.002278,0.002278,0.002278
